Azimuth,Elevation,Distance
0,-40,1.4
6.428571429,-40,1.4
12.85714286,-40,1.4
19.28571429,-40,1.4
25.71428571,-40,1.4
32.14285714,-40,1.4
38.57142857,-40,1.4
45,-40,1.4
51.42857143,-40,1.4
57.85714286,-40,1.4
64.28571429,-40,1.4
70.71428571,-40,1.4
77.14285714,-40,1.4
83.57142857,-40,1.4
90,-40,1.4
96.42857143,-40,1.4
102.8571429,-40,1.4
109.2857143,-40,1.4
115.7142857,-40,1.4
122.1428571,-40,1.4
128.5714286,-40,1.4
135,-40,1.4
141.4285714,-40,1.4
147.8571429,-40,1.4
154.2857143,-40,1.4
160.7142857,-40,1.4
167.1428571,-40,1.4
173.5714286,-40,1.4
180,-40,1.4
186.4285714,-40,1.4
192.8571429,-40,1.4
199.2857143,-40,1.4
205.7142857,-40,1.4
212.1428571,-40,1.4
218.5714286,-40,1.4
225,-40,1.4
231.4285714,-40,1.4
237.8571429,-40,1.4
244.2857143,-40,1.4
250.7142857,-40,1.4
257.1428571,-40,1.4
263.5714286,-40,1.4
270,-40,1.4
276.4285714,-40,1.4
282.8571429,-40,1.4
289.2857143,-40,1.4
295.7142857,-40,1.4
302.1428571,-40,1.4
308.5714286,-40,1.4
315,-40,1.4
321.4285714,-40,1.4
327.8571429,-40,1.4
334.2857143,-40,1.4
340.7142857,-40,1.4
347.1428571,-40,1.4
353.5714286,-40,1.4
0,-30,1.4
6,-30,1.4
12,-30,1.4
18,-30,1.4
24,-30,1.4
30,-30,1.4
36,-30,1.4
42,-30,1.4
48,-30,1.4
54,-30,1.4
60,-30,1.4
66,-30,1.4
72,-30,1.4
78,-30,1.4
84,-30,1.4
90,-30,1.4
96,-30,1.4
102,-30,1.4
108,-30,1.4
114,-30,1.4
120,-30,1.4
126,-30,1.4
132,-30,1.4
138,-30,1.4
144,-30,1.4
150,-30,1.4
156,-30,1.4
162,-30,1.4
168,-30,1.4
174,-30,1.4
180,-30,1.4
186,-30,1.4
192,-30,1.4
198,-30,1.4
204,-30,1.4
210,-30,1.4
216,-30,1.4
222,-30,1.4
228,-30,1.4
234,-30,1.4
240,-30,1.4
246,-30,1.4
252,-30,1.4
258,-30,1.4
264,-30,1.4
270,-30,1.4
276,-30,1.4
282,-30,1.4
288,-30,1.4
294,-30,1.4
300,-30,1.4
306,-30,1.4
312,-30,1.4
318,-30,1.4
324,-30,1.4
330,-30,1.4
336,-30,1.4
342,-30,1.4
348,-30,1.4
354,-30,1.4
0,-20,1.4
5,-20,1.4
10,-20,1.4
15,-20,1.4
20,-20,1.4
25,-20,1.4
30,-20,1.4
35,-20,1.4
40,-20,1.4
45,-20,1.4
50,-20,1.4
55,-20,1.4
60,-20,1.4
65,-20,1.4
70,-20,1.4
75,-20,1.4
80,-20,1.4
85,-20,1.4
90,-20,1.4
95,-20,1.4
100,-20,1.4
105,-20,1.4
110,-20,1.4
115,-20,1.4
120,-20,1.4
125,-20,1.4
130,-20,1.4
135,-20,1.4
140,-20,1.4
145,-20,1.4
150,-20,1.4
155,-20,1.4
160,-20,1.4
165,-20,1.4
170,-20,1.4
175,-20,1.4
180,-20,1.4
185,-20,1.4
190,-20,1.4
195,-20,1.4
200,-20,1.4
205,-20,1.4
210,-20,1.4
215,-20,1.4
220,-20,1.4
225,-20,1.4
230,-20,1.4
235,-20,1.4
240,-20,1.4
245,-20,1.4
250,-20,1.4
255,-20,1.4
260,-20,1.4
265,-20,1.4
270,-20,1.4
275,-20,1.4
280,-20,1.4
285,-20,1.4
290,-20,1.4
295,-20,1.4
300,-20,1.4
305,-20,1.4
310,-20,1.4
315,-20,1.4
320,-20,1.4
325,-20,1.4
330,-20,1.4
335,-20,1.4
340,-20,1.4
345,-20,1.4
350,-20,1.4
355,-20,1.4
0,-10,1.4
5,-10,1.4
10,-10,1.4
15,-10,1.4
20,-10,1.4
25,-10,1.4
30,-10,1.4
35,-10,1.4
40,-10,1.4
45,-10,1.4
50,-10,1.4
55,-10,1.4
60,-10,1.4
65,-10,1.4
70,-10,1.4
75,-10,1.4
80,-10,1.4
85,-10,1.4
90,-10,1.4
95,-10,1.4
100,-10,1.4
105,-10,1.4
110,-10,1.4
115,-10,1.4
120,-10,1.4
125,-10,1.4
130,-10,1.4
135,-10,1.4
140,-10,1.4
145,-10,1.4
150,-10,1.4
155,-10,1.4
160,-10,1.4
165,-10,1.4
170,-10,1.4
175,-10,1.4
180,-10,1.4
185,-10,1.4
190,-10,1.4
195,-10,1.4
200,-10,1.4
205,-10,1.4
210,-10,1.4
215,-10,1.4
220,-10,1.4
225,-10,1.4
230,-10,1.4
235,-10,1.4
240,-10,1.4
245,-10,1.4
250,-10,1.4
255,-10,1.4
260,-10,1.4
265,-10,1.4
270,-10,1.4
275,-10,1.4
280,-10,1.4
285,-10,1.4
290,-10,1.4
295,-10,1.4
300,-10,1.4
305,-10,1.4
310,-10,1.4
315,-10,1.4
320,-10,1.4
325,-10,1.4
330,-10,1.4
335,-10,1.4
340,-10,1.4
345,-10,1.4
350,-10,1.4
355,-10,1.4
0,0,1.4
5,0,1.4
10,0,1.4
15,0,1.4
20,0,1.4
25,0,1.4
30,0,1.4
35,0,1.4
40,0,1.4
45,0,1.4
50,0,1.4
55,0,1.4
60,0,1.4
65,0,1.4
70,0,1.4
75,0,1.4
80,0,1.4
85,0,1.4
90,0,1.4
95,0,1.4
100,0,1.4
105,0,1.4
110,0,1.4
115,0,1.4
120,0,1.4
125,0,1.4
130,0,1.4
135,0,1.4
140,0,1.4
145,0,1.4
150,0,1.4
155,0,1.4
160,0,1.4
165,0,1.4
170,0,1.4
175,0,1.4
180,0,1.4
185,0,1.4
190,0,1.4
195,0,1.4
200,0,1.4
205,0,1.4
210,0,1.4
215,0,1.4
220,0,1.4
225,0,1.4
230,0,1.4
235,0,1.4
240,0,1.4
245,0,1.4
250,0,1.4
255,0,1.4
260,0,1.4
265,0,1.4
270,0,1.4
275,0,1.4
280,0,1.4
285,0,1.4
290,0,1.4
295,0,1.4
300,0,1.4
305,0,1.4
310,0,1.4
315,0,1.4
320,0,1.4
325,0,1.4
330,0,1.4
335,0,1.4
340,0,1.4
345,0,1.4
350,0,1.4
355,0,1.4
0,10,1.4
5,10,1.4
10,10,1.4
15,10,1.4
20,10,1.4
25,10,1.4
30,10,1.4
35,10,1.4
40,10,1.4
45,10,1.4
50,10,1.4
55,10,1.4
60,10,1.4
65,10,1.4
70,10,1.4
75,10,1.4
80,10,1.4
85,10,1.4
90,10,1.4
95,10,1.4
100,10,1.4
105,10,1.4
110,10,1.4
115,10,1.4
120,10,1.4
125,10,1.4
130,10,1.4
135,10,1.4
140,10,1.4
145,10,1.4
150,10,1.4
155,10,1.4
160,10,1.4
165,10,1.4
170,10,1.4
175,10,1.4
180,10,1.4
185,10,1.4
190,10,1.4
195,10,1.4
200,10,1.4
205,10,1.4
210,10,1.4
215,10,1.4
220,10,1.4
225,10,1.4
230,10,1.4
235,10,1.4
240,10,1.4
245,10,1.4
250,10,1.4
255,10,1.4
260,10,1.4
265,10,1.4
270,10,1.4
275,10,1.4
280,10,1.4
285,10,1.4
290,10,1.4
295,10,1.4
300,10,1.4
305,10,1.4
310,10,1.4
315,10,1.4
320,10,1.4
325,10,1.4
330,10,1.4
335,10,1.4
340,10,1.4
345,10,1.4
350,10,1.4
355,10,1.4
0,20,1.4
5,20,1.4
10,20,1.4
15,20,1.4
20,20,1.4
25,20,1.4
30,20,1.4
35,20,1.4
40,20,1.4
45,20,1.4
50,20,1.4
55,20,1.4
60,20,1.4
65,20,1.4
70,20,1.4
75,20,1.4
80,20,1.4
85,20,1.4
90,20,1.4
95,20,1.4
100,20,1.4
105,20,1.4
110,20,1.4
115,20,1.4
120,20,1.4
125,20,1.4
130,20,1.4
135,20,1.4
140,20,1.4
145,20,1.4
150,20,1.4
155,20,1.4
160,20,1.4
165,20,1.4
170,20,1.4
175,20,1.4
180,20,1.4
185,20,1.4
190,20,1.4
195,20,1.4
200,20,1.4
205,20,1.4
210,20,1.4
215,20,1.4
220,20,1.4
225,20,1.4
230,20,1.4
235,20,1.4
240,20,1.4
245,20,1.4
250,20,1.4
255,20,1.4
260,20,1.4
265,20,1.4
270,20,1.4
275,20,1.4
280,20,1.4
285,20,1.4
290,20,1.4
295,20,1.4
300,20,1.4
305,20,1.4
310,20,1.4
315,20,1.4
320,20,1.4
325,20,1.4
330,20,1.4
335,20,1.4
340,20,1.4
345,20,1.4
350,20,1.4
355,20,1.4
0,30,1.4
6,30,1.4
12,30,1.4
18,30,1.4
24,30,1.4
30,30,1.4
36,30,1.4
42,30,1.4
48,30,1.4
54,30,1.4
60,30,1.4
66,30,1.4
72,30,1.4
78,30,1.4
84,30,1.4
90,30,1.4
96,30,1.4
102,30,1.4
108,30,1.4
114,30,1.4
120,30,1.4
126,30,1.4
132,30,1.4
138,30,1.4
144,30,1.4
150,30,1.4
156,30,1.4
162,30,1.4
168,30,1.4
174,30,1.4
180,30,1.4
186,30,1.4
192,30,1.4
198,30,1.4
204,30,1.4
210,30,1.4
216,30,1.4
222,30,1.4
228,30,1.4
234,30,1.4
240,30,1.4
246,30,1.4
252,30,1.4
258,30,1.4
264,30,1.4
270,30,1.4
276,30,1.4
282,30,1.4
288,30,1.4
294,30,1.4
300,30,1.4
306,30,1.4
312,30,1.4
318,30,1.4
324,30,1.4
330,30,1.4
336,30,1.4
342,30,1.4
348,30,1.4
354,30,1.4
0,40,1.4
6.428571429,40,1.4
12.85714286,40,1.4
19.28571429,40,1.4
25.71428571,40,1.4
32.14285714,40,1.4
38.57142857,40,1.4
45,40,1.4
51.42857143,40,1.4
57.85714286,40,1.4
64.28571429,40,1.4
70.71428571,40,1.4
77.14285714,40,1.4
83.57142857,40,1.4
90,40,1.4
96.42857143,40,1.4
102.8571429,40,1.4
109.2857143,40,1.4
115.7142857,40,1.4
122.1428571,40,1.4
128.5714286,40,1.4
135,40,1.4
141.4285714,40,1.4
147.8571429,40,1.4
154.2857143,40,1.4
160.7142857,40,1.4
167.1428571,40,1.4
173.5714286,40,1.4
180,40,1.4
186.4285714,40,1.4
192.8571429,40,1.4
199.2857143,40,1.4
205.7142857,40,1.4
212.1428571,40,1.4
218.5714286,40,1.4
225,40,1.4
231.4285714,40,1.4
237.8571429,40,1.4
244.2857143,40,1.4
250.7142857,40,1.4
257.1428571,40,1.4
263.5714286,40,1.4
270,40,1.4
276.4285714,40,1.4
282.8571429,40,1.4
289.2857143,40,1.4
295.7142857,40,1.4
302.1428571,40,1.4
308.5714286,40,1.4
315,40,1.4
321.4285714,40,1.4
327.8571429,40,1.4
334.2857143,40,1.4
340.7142857,40,1.4
347.1428571,40,1.4
353.5714286,40,1.4
0,50,1.4
8,50,1.4
16,50,1.4
24,50,1.4
32,50,1.4
40,50,1.4
48,50,1.4
56,50,1.4
64,50,1.4
72,50,1.4
80,50,1.4
88,50,1.4
96,50,1.4
104,50,1.4
112,50,1.4
120,50,1.4
128,50,1.4
136,50,1.4
144,50,1.4
152,50,1.4
160,50,1.4
168,50,1.4
176,50,1.4
184,50,1.4
192,50,1.4
200,50,1.4
208,50,1.4
216,50,1.4
224,50,1.4
232,50,1.4
240,50,1.4
248,50,1.4
256,50,1.4
264,50,1.4
272,50,1.4
280,50,1.4
288,50,1.4
296,50,1.4
304,50,1.4
312,50,1.4
320,50,1.4
328,50,1.4
336,50,1.4
344,50,1.4
352,50,1.4
0,60,1.4
10,60,1.4
20,60,1.4
30,60,1.4
40,60,1.4
50,60,1.4
60,60,1.4
70,60,1.4
80,60,1.4
90,60,1.4
100,60,1.4
110,60,1.4
120,60,1.4
130,60,1.4
140,60,1.4
150,60,1.4
160,60,1.4
170,60,1.4
180,60,1.4
190,60,1.4
200,60,1.4
210,60,1.4
220,60,1.4
230,60,1.4
240,60,1.4
250,60,1.4
260,60,1.4
270,60,1.4
280,60,1.4
290,60,1.4
300,60,1.4
310,60,1.4
320,60,1.4
330,60,1.4
340,60,1.4
350,60,1.4
0,70,1.4
15,70,1.4
30,70,1.4
45,70,1.4
60,70,1.4
75,70,1.4
90,70,1.4
105,70,1.4
120,70,1.4
135,70,1.4
150,70,1.4
165,70,1.4
180,70,1.4
195,70,1.4
210,70,1.4
225,70,1.4
240,70,1.4
255,70,1.4
270,70,1.4
285,70,1.4
300,70,1.4
315,70,1.4
330,70,1.4
345,70,1.4
0,80,1.4
30,80,1.4
60,80,1.4
90,80,1.4
120,80,1.4
150,80,1.4
180,80,1.4
210,80,1.4
240,80,1.4
270,80,1.4
300,80,1.4
330,80,1.4
0,90,1.4